Material;Texto breve material;Utilização livre
14201;BROCA ACO RAPIDO              2,5mm;9
17644;LIXA P/ FERRO N-80 UN;9
17648;LIXA P/ FERRO N-100 UN;7
58231;PORCA ESPECIAL M20X2,5     40068150;50
80538;MANGUEIRA VINIL SPT 450lb 1/2;250
80567;ABRACADEIRA 9MM           1/2 A 3/4;9
81625;CAMARA DE AR P/CARR MAO 3.5X4.00-8;4
83970;BROCA DE VIDEA P/CONCRETO       6mm;2
83979;BROCA DE VIDEA P/CONCRETO     6,5mm;10
84004;BROCA DE VIDEA P/CONCRETO       9mm;10
84008;BROCA DE VIDEA P/CONCRETO     9,5mm;10
84017;BROCA DE VIDEA P/CONCRETO      10mm;3
84030;BROCA DE VIDEA P/CONCRETO      12mm;7
84034;BROCA DE VIDEA P/CONCRETO      13mm;8
92869;MANGUEIRA P/ESGUICHO 1/2;250
115131;CORRENTE  ASA 40/2 DUPLA              40;18,500
115416;EMENDA ASA 40/2 DUPLA            40;12
120812;BROCA ACO RAPIDO                4MM;2
120825;BROCA ACO RAPIDO              5,5mm;10
120838;BROCA ACO RAPIDO                6MM;2
120841;BROCA ACO RAPIDO              6,5MM;9
120854;BROCA ACO RAPIDO              7,0mm;10
120867;BROCA ACO RAPIDO              7,5mm;10
120870;BROCA ACO RAPIDO              8,5MM;7
120883;BROCA ACO RAPIDO                9mm;8
120896;BROCA ACO RAPIDO              9,5mm;9
120906;BROCA ACO RAPIDO               10MM;1
120922;BROCA ACO RAPIDO                8MM;4
120948;BROCA ACO RAPIDO                5MM;4
120993;BROCA ACO RAPIDO               11MM;10
121015;BROCA ACO RAPIDO            12,00mm;9
121031;BROCA ACO RAPIDO               13mm;8
121057;BROCA ACO RAPIDO               14MM;11
121073;BROCA ACO RAPIDO              3,5MM;10
121086;BROCA ACO RAPIDO              4,5MM;9
126874;PARAFUSO SEXT 12X70       818712070;100
130747;BROCA ACO RAPIDO                3MM;5
131181;ALICATE P/ANEIS EXT CURVO 7P 44011/107;6
132969;CHAVE HEXAG. ALLEN 19MM   44400/019;6
180140;DETERGENTE  LM BASE ACIDA CONCENT    5LT;3
288864;GAS LIQUEFEITO DE PETROLEO-GLP      P-20;7
351238;ROLAMENTO  6214;10
352365;CABO DE ALUMINIO;3
354037;FILTRO DE AR M0280230 SAUR;3
354072;"TARUGO DE BRONZE          1""X1000MM";2
354844;"ELETRODUTO GALV A FOGO PESADO 1""";12
354860;"ELETRODUTO GALV FOGO PESADO 1.1/2""";2
359740;TARUGO DE NYLON                40MM;1
359741;TARUGO DE NYLON                50MM;2
359800;TARUGO DE NYLON               100MM;2
359840;TARUGO DE NYLON               140MM;2
359847;TARUGO DE NYLON               170MM;2
359850;TARUGO DE NYLON               200MM;2
361419;DISJ MOTOR 9-12A 3RV1011 1KA10 SIEMENS;2
363682;SERRA COPO D/ACO RAPIDO        22MM;1
363776;"BARRA ROSCADA ZINCADA                 1""";5
366809;"CONECTOR PRENSA CABO NYLON 3/8"" STECK";30
368069;ESPAGUETE TERMO-RETRATIL PRETO  5MM;20
370808;PLUGUE 3P + T 32A 6H VERMELHO N-4276;1
370879;BROCA ACO RAPIDO                 16,00MM;7
370882;BROCA ACO RAPIDO                 18,00MM;6
370935;"PINCEL                                1""";7
371155;GRAXA STABUTHERM                  GH 461;6
371166;"CONEXAO MACHO BSPT              1/8""X8MM";4
372632;VALVULA DE ALIVIO M0460158          SAUR;1
374421;CIMENTO                          SC/25KG;1
376158;TOMADA 3P+T 32A 6H VERMELHA SN-4246;32
376352;HIPOCLORITO DE SODIO            10 - 12%;464,000
376570;PLUGUE 2P +T 16A  AZUL IP67  S-3076W STE;29
380749;"DISCO DE CORTE P/INOX 7""            5050";87
381910;RETENTOR  38X52,25X7MM         2506;10
383963;SACO P/AMOSTRA CEREAIS 18X30X0,14MI;29.000
385408;PINCEL RETROPROJ AZUL PILOT 2,0MM;59
385847;RETENTOR AS  40X55X7MM          NBR;6
385893;GRAMPEADOR 26/6 CIS C-15;59
386025;PINCEL RETROPROJ - AZUL PILOT 1,0MM;60
386678;PARAFUSO LENTILHA 3/8X3/4;100
387286;CONECTOR SAK 4MM CINZA 8WH1000-0AG00;15
387312;DISJUNTOR MONO 16A 5SX1 116-7C SIEMENS;11
387325;FITA AUTOFUSAO 10M;28
388269;MARRETA DE BORRACHA            80MM;3
389789;ADESIVO JUNTA LOCTITE 574  9889876   SEW;25
396191;PINO TUB. ILHOS HES10400 4.0MM ISOLADO;300
396192;PINO TUB. ILHOS HES12250 2.5MM ISOLADO;600
400862;TARUGO DE BRONZE             1/2POL;2
403979;FITA PLASTICA ZEBRADA AMARELO/PRETO;157
406169;ESPIGAO P/MANGUEIRA;23
407280;MANGUEIRA DE POLIURETANO-AZUL  10MM;50
407281;MANGUEIRA DE POLIURETANO-AZUL  12MM;20
407970;VALVULA ESFERA TI-304        3/4POL;1
408160;CONTATOR 3RH11 22-1AN10 SIEMENS;3
409168;SELANTE PU SIKAFLEX 221 CINZA 300ML;13
409371;PARAFUSO ROSCA SOBERBA INOX 8X50;46
409397;REBITE DE ALUMINIO         3/16X3/8;1
